RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
37,15600036,Clarke,769,France,Female,52,4,0.0,1,0,0,198538.23,0
38,15600037,Fowler,645,France,Male,19,4,0.0,1,1,1,157126.3,0
39,15600038,White,776,France,Female,48,10,129290.09,1,0,0,129047.63,0
40,15600039,Clarke,461,Spain,Female,29,6,39497.16,2,0,0,113077.21,0
41,15600040,Doyle,645,France,Male,51,10,0.0,1,0,1,187548.3,0
42,15600041,Wilson,646,Germany,Female,74,7,77069.0,3,1,1,105875.67,1
43,15600042,White,580,Spain,Female,18,9,0.0,1,1,0,81131.88,0
44,15600043,Green,850,France,Female,47,2,0.0,1,1,0,167064.22,0
45,15600044,Wilson,644,Germany,Female,19,10,0.0,1,1,0,188108.64,1
46,15600045,White,611,Germany,Male,44,10,166405.96,2,1,1,96304.46,0
47,15600046,Wood,652,France,Male,37,0,69037.05,2,1,1,28310.47,0
48,15600047,Roberts,458,France,Male,40,3,0.0,2,0,0,122066.19,0
49,15600048,Fowler,577,Spain,Male,29,4,0.0,1,0,0,148435.57,0
50,15600049,Wood,744,France,Male,48,4,211997.78,1,1,1,75353.58,0
51,15600050,Doyle,590,France,Female,23,8,90488.11,2,0,1,149827.89,0
52,15600051,Baker,570,France,Male,53,7,150166.99,1,1,0,106679.22,1
53,15600052,Doyle,776,Germany,Male,34,2,57100.09,2,1,1,60969.87,0
54,15600053,Fowler,779,Spain,Female,24,6,75733.04,1,1,0,126274.72,0
55,15600054,Davies,700,Spain,Male,57,10,90690.4,1,0,0,78400.57,0
56,15600055,Wilson,606,Germany,Male,38,4,0.0,1,1,1,157578.28,0
57,15600056,Wilson,627,France,Female,60,10,0.0,1,1,1,1612.93,0
58,15600057,Baker,573,Spain,Male,52,7,138842.8,2,1,0,163817.45,0
59,15600058,Brown,555,France,Male,30,10,0.0,2,1,1,62008.48,0
60,15600059,Martin,550,France,Male,38,9,90004.9,3,1,1,191965.69,1
61,15600060,Walker,591,Spain,Female,40,0,128980.35,2,1,1,152073.81,0
62,15600061,Hall,551,France,Male,56,8,44654.37,1,0,1,48967.02,0
63,15600062,Walker,500,Spain,Male,44,2,150247.76,1,1,1,195781.03,0
64,15600063,Smith,671,Germany,Male,41,9,94008.59,1,1,1,100416.54,1
65,15600064,Walker,673,Spain,Male,37,8,80918.26,2,0,0,105061.84,0
66,15600065,Taylor,813,Spain,Female,38,2,0.0,1,1,1,181994.11,0
67,15600066,Thomas,586,Spain,Male,53,0,0.0,3,1,0,183762.21,1
68,15600067,Martin,678,France,Female,39,4,0.0,2,1,1,139679.62,0
69,15600068,White,680,France,Male,35,3,0.0,2,0,0,195711.48,0
70,15600069,Jackson,626,France,Male,33,6,121233.9,2,1,0,66445.19,0
71,15600070,Thomas,721,France,Female,33,0,0.0,2,0,1,47234.98,0
72,15600071,Brown,724,France,Male,24,0,0.0,2,1,0,6822.09,0
73,15600072,Taylor,681,Germany,Male,31,4,83024.76,2,1,0,69922.64,1
74,15600073,Walker,625,France,Female,55,8,157141.05,1,1,0,120924.04,0
75,15600074,Wood,616,France,Male,37,3,41174.65,2,1,1,61770.43,0
76,15600075,White,519,France,Male,47,3,143087.24,1,1,0,116344.43,1
77,15600076,Green,573,France,Female,18,1,130332.48,2,1,0,10628.76,0
78,15600077,Green,590,Spain,Male,45,3,0.0,2,1,1,71464.12,0
79,15600078,Wilson,542,Spain,Male,37,3,71921.36,1,0,1,149852.98,1
80,15600079,Turner,692,Germany,Male,34,2,0.0,2,1,1,21761.05,0
81,15600080,King,765,Spain,Male,41,3,187645.86,1,1,0,143252.65,1
82,15600081,Davies,563,France,Male,34,3,124752.44,2,1,1,152898.91,0
83,15600082,White,677,Germany,Female,18,7,108733.89,2,0,1,114183.54,0
84,15600083,Wilson,551,France,Male,49,3,67293.26,2,1,1,177331.42,0
85,15600084,Hill,621,France,Female,42,8,92082.94,2,0,1,190958.14,0
86,15600085,Brown,584,France,Male,36,6,99059.45,1,1,0,7900.82,0
87,15600086,Martin,708,Spain,Male,28,7,111993.16,1,1,1,136137.52,0
88,15600087,Thomas,585,France,Male,23,6,130388.72,2,1,1,48197.73,0
89,15600088,Martin,747,France,Female,41,10,46964.07,1,1,0,82228.48,0
90,15600089,Taylor,626,Spain,Male,57,2,0.0,1,0,0,125007.7,0
91,15600090,Thomas,588,France,Male,41,10,94635.45,1,1,0,142742.18,1
92,15600091,Johnson,530,Spain,Female,24,2,0.0,1,1,1,168198.0,0
93,15600092,White,674,France,Female,41,1,72198.65,4,0,0,141372.0,1
94,15600093,Taylor,736,France,Male,38,9,0.0,1,1,1,155702.4,0
95,15600094,Hill,676,France,Female,49,9,117046.15,1,1,1,120215.17,0
96,15600095,Smith,850,Spain,Male,46,1,0.0,3,1,0,24294.76,0
97,15600096,Wood,787,France,Male,18,6,0.0,3,1,0,5264.63,0
98,15600097,Harris,620,France,Male,45,5,215080.18,1,0,0,106426.83,0
99,15600098,Baker,619,France,Male,28,2,0.0,2,1,0,143392.67,0
100,15600099,Smith,695,Germany,Male,23,5,109129.48,1,0,1,22664.25,0
101,15600100,Hall,570,Germany,Female,37,7,12184.23,2,1,1,86429.89,0
102,15600101,Thomas,762,Spain,Male,44,6,144827.94,1,0,1,51979.3,0
103,15600102,Clarke,685,France,Female,21,5,0.0,1,1,1,113851.52,0
104,15600103,Jackson,675,Germany,Female,47,9,86619.29,1,0,0,78710.05,1
105,15600104,Johnson,716,Germany,Female,47,2,0.0,2,0,1,41092.03,0
106,15600105,Walker,815,Spain,Female,40,6,94058.82,1,0,0,1874.15,1
107,15600106,Hall,666,France,Female,29,3,0.0,1,1,1,64983.49,1
108,15600107,Roberts,639,France,Female,28,10,77004.68,2,0,0,103716.27,0
109,15600108,King,795,France,Male,50,2,154580.96,1,0,0,185912.61,1
110,15600109,Martin,743,Germany,Male,22,9,152309.23,2,0,1,46267.73,0
111,15600110,Johnson,619,France,Male,51,6,0.0,1,1,1,102938.76,0
112,15600111,Hall,650,France,Male,37,2,0.0,1,1,0,113732.81,0
113,15600112,Davies,669,France,Male,38,8,0.0,1,1,0,130196.3,1
114,15600113,Thomas,685,Spain,Female,20,2,92735.99,1,0,1,66384.7,0
115,15600114,Johnson,520,France,Male,37,2,95443.97,1,0,1,20796.88,0
116,15600115,Martin,502,Germany,Female,46,3,93812.37,2,0,1,184349.89,0
117,15600116,Walker,565,Germany,Male,24,7,0.0,2,1,0,190598.33,0
118,15600117,Baker,557,Spain,Male,44,4,0.0,1,0,0,88208.0,0
119,15600118,Baker,588,France,Male,40,6,14982.94,1,0,1,116534.42,0
120,15600119,Harris,711,Spain,Male,32,6,0.0,2,0,1,6776.25,0
121,15600120,Hill,634,Spain,Male,48,2,0.0,1,1,0,10395.91,0
122,15600121,Davies,669,Spain,Male,18,2,136856.61,2,1,0,16256.82,0
123,15600122,Fowler,532,France,Male,43,3,0.0,2,0,0,148010.52,0
124,15600123,Hall,606,France,Male,57,2,34559.18,1,1,1,46219.66,0
125,15600124,Martin,706,France,Male,55,10,53833.04,2,1,0,37705.0,0
126,15600125,Roberts,707,France,Male,43,4,196845.3,3,1,1,2658.73,0
127,15600126,Fowler,580,France,Male,36,4,51929.14,2,0,1,5556.61,0
128,15600127,Taylor,666,France,Male,32,7,0.0,3,1,0,81671.37,0
129,15600128,Doyle,850,France,Male,36,8,0.0,1,1,0,108793.91,0
130,15600129,Evans,648,Spain,Male,45,7,172527.67,2,1,0,116232.78,0
131,15600130,Wilson,583,France,Male,30,6,181256.86,1,1,0,92124.33,0
132,15600131,Harris,633,Germany,Female,47,10,147109.14,1,0,1,92452.69,0
133,15600132,Smith,659,Spain,Female,62,9,0.0,4,1,1,150875.29,0
134,15600133,Taylor,635,France,Female,38,2,0.0,1,1,0,58624.46,1
135,15600134,Smith,647,Spain,Male,24,1,0.0,3,0,1,48305.85,0
136,15600135,King,511,France,Male,24,4,91533.46,2,0,0,171010.51,0
137,15600136,Taylor,558,Germany,Male,48,9,124186.5,3,1,1,138163.5,0
138,15600137,Turner,636,France,Female,38,10,82560.15,3,0,1,95896.42,0
139,15600138,Wood,634,Germany,Female,49,7,0.0,2,1,0,55805.56,1
140,15600139,Taylor,596,France,Female,33,7,36973.51,4,1,1,28179.78,0
141,15600140,Hall,633,France,Female,48,2,0.0,2,1,1,8446.82,0
142,15600141,Hill,656,France,Male,37,6,0.0,2,0,0,170620.71,0
143,15600142,King,735,Germany,Female,31,2,193089.05,2,1,1,119083.71,1
144,15600143,Baker,640,Spain,Female,35,5,89854.41,1,1,0,10120.07,1
145,15600144,Taylor,688,France,Male,26,2,105483.8,1,1,0,32558.89,0
146,15600145,Doyle,598,France,Female,61,0,36052.81,1,0,1,56633.29,0
147,15600146,Evans,705,France,Male,38,10,125341.62,1,0,0,53351.25,0
148,15600147,White,686,Spain,Female,46,9,186780.7,1,0,0,110129.81,1
149,15600148,Wood,733,France,Female,33,7,0.0,2,0,0,80489.28,0
150,15600149,Fowler,718,France,Male,27,6,0.0,2,1,0,176561.1,0
151,15600150,Fowler,707,Germany,Female,36,2,119646.22,2,0,0,144162.73,1
152,15600151,Smith,641,Germany,Male,51,6,119018.36,2,0,0,182235.78,1
153,15600152,White,674,France,Female,33,8,180354.97,3,1,1,172700.91,0
154,15600153,Brown,752,Spain,Female,29,5,0.0,2,0,0,184352.46,0
155,15600154,King,587,France,Female,41,3,77158.4,2,0,1,196022.28,0
156,15600155,Taylor,590,Spain,Female,44,4,127024.55,1,1,1,63027.59,1
157,15600156,King,667,France,Male,57,9,94632.85,3,1,0,42726.44,0
158,15600157,Baker,690,Spain,Male,43,2,55233.66,1,1,1,33865.32,0
159,15600158,Clarke,571,Spain,Male,46,10,104894.78,1,1,1,125989.6,0
160,15600159,Doyle,643,Germany,Male,47,8,0.0,1,0,1,136512.37,0
161,15600160,Johnson,641,France,Male,26,9,101931.08,2,1,1,18479.66,0
162,15600161,Doyle,437,Germany,Male,28,5,41535.03,2,1,0,164393.25,0
163,15600162,Wood,629,France,Male,27,2,0.0,1,1,0,156830.24,0
164,15600163,Jackson,635,France,Male,24,0,64925.09,2,1,1,126066.31,1
165,15600164,Turner,635,Spain,Female,48,5,43665.58,1,1,1,87686.88,0
166,15600165,Baker,786,France,Male,42,4,107244.68,1,1,1,31577.8,0
167,15600166,Taylor,533,Germany,Female,40,1,112996.17,1,1,1,101612.86,1
168,15600167,Davies,571,Germany,Male,18,10,143873.47,1,0,0,32674.69,0
169,15600168,White,399,France,Male,62,10,0.0,2,1,0,121390.78,0
170,15600169,White,604,Germany,Male,29,4,58238.67,1,0,1,62682.98,0
171,15600170,Taylor,612,France,Male,62,7,175501.32,1,1,0,50213.95,0
172,15600171,Fowler,601,Spain,Male,23,4,80952.73,1,1,1,88769.22,0
173,15600172,Hill,756,France,Male,30,5,91657.21,2,1,1,116561.85,0
174,15600173,Harris,733,Germany,Male,18,6,0.0,4,0,0,74125.35,1
175,15600174,Wilson,657,France,Male,43,4,152316.7,2,1,0,192757.08,0
176,15600175,Clarke,614,France,Female,27,8,0.0,2,1,1,2173.63,0
177,15600176,Harris,749,France,Male,27,2,0.0,3,0,1,182659.34,0
178,15600177,King,648,Germany,Female,24,7,91461.22,1,0,1,1136.13,0
179,15600178,Thomas,571,Germany,Male,48,10,42016.02,1,1,0,44125.68,0
180,15600179,Wood,485,Spain,Female,47,9,195886.72,2,0,0,199273.89,1
181,15600180,Doyle,608,Germany,Female,59,0,137096.99,1,1,0,145890.98,0
182,15600181,Baker,722,Germany,Female,31,1,0.0,1,1,0,129255.18,1
183,15600182,King,850,Spain,Female,41,6,168310.04,1,0,0,145492.48,0
184,15600183,Davies,656,France,Male,25,10,0.0,1,1,1,82250.94,0
185,15600184,Wilson,577,Germany,Male,35,9,167588.69,1,0,0,157057.74,0
186,15600185,Clarke,536,Spain,Male,33,9,171305.65,1,0,1,31818.74,0
187,15600186,Davies,703,France,Female,44,1,39318.45,1,1,1,158984.59,0
188,15600187,Clarke,481,France,Female,50,5,0.0,2,0,1,187965.81,0
189,15600188,Hill,703,Spain,Male,50,7,133020.49,2,1,1,171679.68,0
190,15600189,Brown,729,France,Female,30,6,233820.01,1,1,0,148192.53,1
191,15600190,White,692,Germany,Male,50,8,49173.44,1,0,1,130624.09,0
192,15600191,Baker,629,France,Female,39,2,0.0,1,1,0,104697.34,1
193,15600192,Fowler,704,France,Female,35,5,0.0,1,1,0,79649.43,0
194,15600193,White,666,Germany,Male,31,4,21724.97,1,0,1,173265.06,0
195,15600194,Johnson,575,France,Female,33,10,0.0,1,1,0,129844.26,0
196,15600195,Martin,828,France,Female,58,2,90135.56,2,1,0,87545.16,0
197,15600196,Brown,616,Spain,Male,42,3,31761.04,2,1,1,157173.55,0
198,15600197,Wilson,724,Germany,Male,41,0,0.0,2,1,0,11766.65,0
199,15600198,Clarke,418,France,Male,36,1,142679.51,2,1,0,162810.73,0
200,15600199,Martin,773,France,Female,66,10,103101.04,2,0,0,162329.73,1
201,15600200,Davies,791,Germany,Male,53,9,0.0,2,0,0,46477.35,1
202,15600201,Taylor,653,Germany,Female,31,2,81834.04,2,1,1,8496.65,0
203,15600202,Turner,704,Spain,Female,36,7,0.0,2,1,1,143027.88,0
204,15600203,Turner,704,France,Male,37,6,101952.69,2,1,0,40774.45,0
205,15600204,Roberts,588,France,Male,41,9,151040.69,2,0,1,199208.34,1
206,15600205,Fowler,703,France,Female,31,3,104956.69,2,1,1,2827.31,1
207,15600206,Turner,572,France,Female,44,10,0.0,1,0,1,46728.6,0
208,15600207,Hall,592,Spain,Male,55,4,59072.34,1,1,1,9370.42,0
209,15600208,Green,758,France,Male,25,7,0.0,1,1,1,156748.49,0
210,15600209,Hill,744,Spain,Male,27,4,151826.85,1,0,1,116160.4,1
211,15600210,Turner,582,Spain,Female,34,7,0.0,1,1,1,169838.47,0
212,15600211,Clarke,580,Spain,Male,34,3,187607.69,1,1,0,192560.06,0
213,15600212,Smith,588,France,Female,61,9,0.0,1,1,0,122412.86,0
214,15600213,Wilson,720,Germany,Male,50,7,131982.0,3,1,0,47118.95,1
215,15600214,Wilson,554,Spain,Female,49,3,10004.62,1,1,1,19437.24,0
216,15600215,Martin,684,Spain,Male,36,10,0.0,1,1,0,173385.95,0
217,15600216,Thomas,722,France,Male,36,7,30860.47,1,1,1,49777.54,0
218,15600217,Martin,642,France,Female,23,4,0.0,1,1,0,178810.13,0
219,15600218,Jackson,747,Germany,Female,48,1,250000.0,2,0,1,175779.23,0
220,15600219,Wilson,621,France,Male,44,10,0.0,2,0,0,125934.03,0
221,15600220,Davies,629,France,Male,53,8,0.0,1,1,0,121195.17,0
222,15600221,Harris,556,France,Male,37,7,112428.4,2,0,0,190214.47,0
223,15600222,Thomas,748,Spain,Male,37,9,61560.86,1,1,1,151447.01,0
224,15600223,Jackson,576,Germany,Male,41,6,37159.07,2,1,1,136973.07,0
225,15600224,Hill,684,France,Female,49,2,205672.67,3,1,0,87712.41,1
226,15600225,Evans,643,Germany,Male,23,2,0.0,3,1,1,97315.69,0
227,15600226,Green,549,France,Female,47,0,0.0,1,1,1,78395.3,0
228,15600227,Wilson,592,Spain,Male,39,0,68449.72,2,0,1,189317.88,0
229,15600228,Martin,783,Spain,Male,27,8,72906.58,2,1,1,127985.72,0
230,15600229,Smith,669,France,Female,18,9,0.0,2,1,1,156292.35,0
231,15600230,Martin,553,France,Male,37,1,106861.76,1,0,1,8402.75,0
232,15600231,Johnson,679,France,Female,55,6,0.0,1,0,1,170632.83,0
233,15600232,Evans,636,Germany,Male,57,1,223151.62,1,1,1,84110.02,1
234,15600233,Roberts,850,Spain,Female,43,4,100068.43,1,1,1,147694.91,0
235,15600234,Brown,677,Germany,Female,61,8,108885.3,2,0,0,8965.04,1
236,15600235,Roberts,613,Germany,Female,39,8,149768.21,1,1,0,178880.76,1
237,15600236,King,786,France,Male,49,10,115597.16,1,0,1,132309.27,0
238,15600237,Evans,473,Germany,Male,34,3,0.0,2,0,1,92042.66,0
239,15600238,Roberts,659,France,Male,33,10,0.0,1,1,1,61408.06,0
240,15600239,Baker,841,France,Male,32,8,0.0,4,0,1,62893.8,0
241,15600240,Baker,639,Germany,Male,18,3,105412.8,2,1,1,61376.23,0
242,15600241,Fowler,484,Germany,Male,53,3,0.0,2,0,0,27074.14,0
243,15600242,Clarke,612,France,Male,32,1,54370.86,2,1,1,93298.1,0
244,15600243,Martin,790,Spain,Male,30,10,49958.68,1,1,0,91243.78,0
245,15600244,Baker,686,Spain,Male,26,2,157156.06,1,0,1,82975.4,0
246,15600245,Harris,569,Germany,Male,37,2,64851.51,3,1,1,140915.75,1
247,15600246,Johnson,584,Spain,Male,58,4,67419.2,1,1,0,84543.16,1
248,15600247,White,596,France,Female,62,1,0.0,1,0,1,18711.74,0
249,15600248,Martin,685,France,Male,21,8,86426.05,2,1,1,170559.86,0
250,15600249,Roberts,778,France,Male,35,7,3449.9,1,0,0,85595.07,1
251,15600250,Fowler,751,Spain,Male,28,1,0.0,1,0,1,131401.85,0
252,15600251,Doyle,694,Germany,Female,50,1,102670.24,1,1,1,186049.37,0
253,15600252,Brown,522,France,Male,42,0,102278.09,1,0,1,153715.61,0
254,15600253,Martin,523,France,Female,32,10,0.0,2,1,0,108220.98,0
255,15600254,Walker,701,France,Female,40,4,191166.57,1,1,0,109459.43,1
256,15600255,Clarke,521,Spain,Male,34,7,173186.59,1,1,1,170056.68,1
257,15600256,Doyle,628,Germany,Female,57,1,140305.88,1,0,0,164902.83,1
258,15600257,Harris,679,France,Female,45,2,0.0,2,0,0,36551.89,0
259,15600258,Fowler,541,France,Male,46,5,0.0,1,1,1,125673.72,0
260,15600259,Smith,552,Spain,Male,18,2,90983.31,1,0,1,173277.42,0
261,15600260,Hill,641,France,Female,38,6,122206.83,2,1,1,160858.18,0
262,15600261,Green,698,Germany,Female,62,10,135206.58,1,1,1,25818.49,0
263,15600262,White,752,France,Male,54,3,124269.72,2,1,0,87702.87,0
264,15600263,Davies,708,France,Male,19,6,0.0,1,1,0,104128.39,0
265,15600264,Roberts,657,Germany,Female,36,10,133277.42,1,0,1,52304.1,0
266,15600265,Wood,578,France,Male,26,9,159347.99,1,0,0,136220.38,0
267,15600266,Evans,547,France,Female,58,0,138408.82,2,1,0,95769.07,0
268,15600267,White,601,France,Male,42,1,88239.28,1,1,1,60204.23,0
269,15600268,Brown,689,France,Female,31,10,44138.32,1,1,0,68036.04,0
270,15600269,Doyle,682,France,Female,39,10,0.0,2,0,1,171477.0,0
271,15600270,Doyle,448,France,Female,18,3,52533.03,1,1,1,173373.76,0
272,15600271,Doyle,575,France,Female,27,5,104139.14,2,0,1,162662.76,0
273,15600272,Fowler,766,France,Female,39,6,118589.21,4,1,0,182859.9,1
274,15600273,Johnson,658,Spain,Female,48,7,0.0,2,0,0,190509.0,0
275,15600274,Johnson,514,Spain,Female,18,8,62280.27,1,1,1,98873.75,0
276,15600275,Walker,850,France,Male,35,4,0.0,1,1,1,20244.02,0
277,15600276,Wood,647,France,Female,50,9,0.0,3,1,1,160214.13,1
278,15600277,Smith,687,Spain,Male,23,0,0.0,1,1,0,127052.95,0
279,15600278,Hall,688,Germany,Female,42,0,73091.44,1,0,1,76722.92,0
280,15600279,Johnson,615,Germany,Female,40,10,50211.89,3,1,0,195131.1,1
281,15600280,Harris,580,France,Male,58,1,92926.3,3,1,0,68398.36,0
282,15600281,Wilson,850,France,Male,36,10,111575.42,1,1,0,181619.16,0
283,15600282,Evans,746,France,Male,37,3,43330.91,1,1,0,118924.31,1
284,15600283,Jackson,729,France,Female,48,4,76656.32,2,1,0,8291.75,0
285,15600284,Turner,705,Spain,Male,24,0,115722.31,2,0,0,172206.69,0
286,15600285,Harris,554,France,Male,37,10,48085.04,1,1,1,152680.18,0
287,15600286,Davies,773,France,Female,34,3,0.0,1,1,1,128855.02,0
288,15600287,Wilson,569,France,Female,37,1,0.0,1,1,0,123302.84,1
289,15600288,Wilson,677,Spain,Male,48,5,67007.2,1,1,0,44548.26,1
290,15600289,Hill,493,France,Male,45,1,17486.99,1,1,1,43682.74,0
291,15600290,Wilson,454,Germany,Female,31,8,70875.3,2,1,0,6805.31,1
292,15600291,White,681,France,Female,41,0,0.0,1,1,0,31673.36,0
293,15600292,Brown,572,Germany,Female,55,5,14177.09,1,1,1,67959.77,1
294,15600293,Davies,459,France,Male,30,4,74456.73,2,0,1,108604.25,0
295,15600294,Johnson,702,Germany,Male,41,0,207276.75,1,1,1,27030.9,0
296,15600295,Brown,850,Germany,Male,37,0,112447.15,1,1,0,111956.86,0
297,15600296,Johnson,783,Germany,Female,38,5,69775.22,3,1,0,53400.7,1
298,15600297,Thomas,625,Germany,Male,21,4,81371.46,1,1,0,51538.26,0
299,15600298,Taylor,651,Germany,Male,55,1,113614.94,2,1,1,189640.9,0
300,15600299,Turner,735,Spain,Female,30,1,183267.46,1,0,0,198476.56,0
301,15600300,Hall,758,Germany,Female,50,8,60803.05,1,1,0,162476.28,1
302,15600301,Wilson,617,France,Female,32,8,48331.43,2,1,0,11824.0,1
303,15600302,Roberts,653,Spain,Male,32,6,14165.52,1,1,1,145997.71,0
304,15600303,Turner,679,Spain,Male,52,9,95670.28,2,0,0,36506.72,0
305,15600304,Doyle,703,Germany,Male,50,0,12687.19,1,0,0,114275.04,0
306,15600305,Brown,637,France,Male,41,7,0.0,2,1,1,178849.01,0
307,15600306,Green,638,France,Male,47,8,40022.41,1,1,1,76658.93,0
308,15600307,Hill,782,Spain,Male,36,2,149076.79,2,1,1,185839.5,0
309,15600308,Roberts,766,France,Female,39,5,0.0,2,1,1,141966.07,0
310,15600309,Walker,696,France,Female,32,8,111831.17,1,1,0,60901.35,1
311,15600310,Martin,815,France,Female,49,6,0.0,1,1,1,19888.52,1
312,15600311,White,613,France,Male,31,2,97232.88,1,1,0,163254.91,0
313,15600312,Johnson,806,France,Male,55,7,23826.18,2,1,1,92153.82,0
314,15600313,Roberts,702,France,Male,36,8,66589.33,1,0,0,15466.0,0
315,15600314,Smith,850,France,Male,39,0,211616.14,2,1,1,21521.35,0
316,15600315,Green,536,France,Male,47,6,141269.59,1,0,1,193425.31,1
317,15600316,Green,584,France,Male,39,5,82937.31,1,1,0,49357.39,0
318,15600317,Turner,690,Spain,Female,36,4,250000.0,2,0,0,193351.64,0
319,15600318,Doyle,688,France,Male,39,0,0.0,1,0,1,136550.76,0
320,15600319,Roberts,837,Germany,Female,49,0,0.0,1,0,0,60797.73,1
321,15600320,Turner,586,Germany,Male,32,8,5702.9,2,0,1,77361.85,0
322,15600321,Hill,737,France,Male,38,9,0.0,2,1,0,155630.65,0
323,15600322,Brown,762,France,Male,39,4,15871.56,1,1,1,87647.58,0
324,15600323,Clarke,718,Spain,Male,49,10,104150.18,1,1,1,15875.4,0
325,15600324,Hill,558,Germany,Male,38,10,0.0,1,1,0,46733.01,0
326,15600325,Doyle,785,Spain,Female,59,7,73078.44,2,1,1,172208.65,1
327,15600326,Baker,768,Germany,Male,37,6,150063.14,1,1,1,139538.65,0
328,15600327,Green,708,Spain,Male,36,10,58809.56,2,1,1,100702.21,0
329,15600328,Johnson,670,Spain,Female,37,6,107976.85,2,0,1,49853.64,0
330,15600329,Martin,672,France,Male,25,10,0.0,3,1,1,95443.53,0
331,15600330,Roberts,642,Spain,Female,28,10,8422.83,1,0,0,157980.96,0
332,15600331,Thomas,712,France,Male,33,2,48837.21,1,0,0,17227.1,0
333,15600332,Turner,653,Spain,Female,51,7,92962.35,1,1,0,198958.8,1
334,15600333,Taylor,569,Germany,Male,39,8,124658.44,1,0,1,172092.75,1
335,15600334,Davies,549,France,Male,34,9,0.0,1,0,1,64275.19,0
336,15600335,Green,578,Spain,Female,52,3,78126.61,2,1,0,174244.77,0
337,15600336,Smith,671,France,Female,56,9,72594.09,1,0,1,136661.19,0
338,15600337,Walker,647,Spain,Male,53,5,0.0,1,1,0,133604.53,0
339,15600338,Walker,671,France,Female,30,4,108149.13,2,1,1,28802.24,0
340,15600339,Taylor,698,Germany,Male,34,1,73658.53,4,1,1,181273.03,0
341,15600340,Johnson,590,France,Male,59,3,74928.23,1,1,1,90618.02,1
342,15600341,Roberts,791,Germany,Male,42,10,0.0,2,0,1,160842.32,0
343,15600342,Turner,624,Germany,Female,36,7,120339.54,2,1,1,60605.23,0
344,15600343,Brown,608,Spain,Male,47,7,0.0,1,1,0,62292.73,0
345,15600344,Fowler,696,Germany,Female,50,9,47531.31,2,0,1,192973.15,1
346,15600345,Fowler,474,Germany,Male,33,2,113744.83,1,1,0,99835.33,1
347,15600346,Walker,574,Germany,Female,41,7,0.0,1,1,1,12918.25,0
